ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
2,6-10 Years,10Y,M,MONMOUTH,BL,41
9,21+ Years,33Y,M,ESSEX,BL,56
10,3-5 Years,4Y,M,CUMBERLAND,BL,44
11,21+ Years,LIFE,M,CAMDEN,BL,44
12,21+ Years,25Y,M,ATLANTIC,WH,44
13,21+ Years,30Y,M,UNION,BL,57
14,6-10 Years,7Y,M,MORRIS,OA,55
15,6-10 Years,7Y,M,OCEAN,WH,33
16,21+ Years,40Y,M,MORRIS,WH,48
17,3-5 Years,3Y 6M,M,ESSEX,BL,21
18,1-2 Years,1Y 6M,M,ATLANTIC,BL,43
19,3-5 Years,5Y,M,GLOUCESTER,BL,52
20,3-5 Years,5Y,M,HUDSON,HS,23
21,21+ Years,LIFE,M,OCEAN,BL,40
22,6-10 Years,9Y,M,BERGEN,BL,44
23,21+ Years,25Y,M,CAMDEN,BL,44
24,6-10 Years,9Y,M,BERGEN,BL,41
25,21+ Years,LIFE,M,SALEM,BL,71
26,15-20 Years,20Y,M,ATLANTIC,HS,65
27,6-10 Years,10Y,M,MERCER,BL,25
28,3-5 Years,5Y,M,ESSEX,BL,41
29,21+ Years,LIFE,M,PASSAIC,BL,43
30,21+ Years,50Y,M,ESSEX,BL,42
31,6-10 Years,7Y,M,MONMOUTH,BL,22
32,6-10 Years,8Y,M,CAMDEN,BL,28
33,6-10 Years,10Y,M,UNION,HS,47
34,21+ Years,LIFE,M,BERGEN,BL,61
35,3-5 Years,5Y,M,MERCER,BL,45
36,3-5 Years,5Y,M,OCEAN,BL,29
37,6-10 Years,6Y,M,HUDSON,BL,33
38,3-5 Years,5Y,M,HUDSON,BL,33
39,21+ Years,28Y 7M 8D,M,MORRIS,BL,37
40,6-10 Years,10Y,M,MONMOUTH,WH,40
41,6-10 Years,10Y,M,MIDDLESEX,WH,39
42,6-10 Years,10Y,M,ATLANTIC,WH,32
43,3-5 Years,5Y,F,OCEAN,WH,30
44,6-10 Years,6Y,F,CAMDEN,WH,34
46,21+ Years,30Y,M,OCEAN,BL,41
48,15-20 Years,20Y,M,HUDSON,BL,40
50,21+ Years,LIFE,M,ATLANTIC,BL,44
51,3-5 Years,5Y,M,CAMDEN,BL,27
52,6-10 Years,7Y,M,CUMBERLAND,WH,57
53,6-10 Years,10Y,M,PASSAIC,HS,39
54,21+ Years,50Y,M,ESSEX,BL,52
55,21+ Years,57Y,M,UNION,WH,32
56,3-5 Years,4Y,M,BURLINGTON,WH,23
57,3-5 Years,5Y,M,CUMBERLAND,BL,40
58,6-10 Years,10Y,F,MIDDLESEX,WH,50
59,6-10 Years,6Y,F,CUMBERLAND,WH,30
60,11-14 Years,12Y 19D,M,UNION,BL,26
61,21+ Years,25Y,M,MIDDLESEX,BL,29
62,21+ Years,60Y,M,MIDDLESEX,BL,58
63,6-10 Years,10Y,M,UNION,BL,27
64,21+ Years,LIFE,M,CUMBERLAND,BL,45
65,15-20 Years,18Y,M,ESSEX,BL,26
66,21+ Years,34Y,M,ESSEX,HS,45
67,3-5 Years,5Y,M,MIDDLESEX,WH,51
68,3-5 Years,5Y,M,HUDSON,BL,25
69,21+ Years,LIFE,M,ESSEX,WH,61
70,6-10 Years,7Y,M,BURLINGTON,BL,47
71,6-10 Years,10Y,M,ESSEX,BL,25
72,11-14 Years,12Y,M,CAMDEN,BL,22
73,6-10 Years,8Y,M,MERCER,BL,26
74,1-2 Years,2Y 10M 14D,M,PASSAIC,WH,25
75,6-10 Years,10Y,M,ESSEX,HS,40
76,6-10 Years,10Y,M,CAPE MAY,WH,32
77,21+ Years,LIFE,M,ATLANTIC,BL,52
78,21+ Years,44Y,M,PASSAIC,BL,58
79,15-20 Years,20Y,M,HUDSON,BL,34
80,3-5 Years,5Y,M,CAMDEN,BL,31
81,21+ Years,60Y,F,ESSEX,BL,46
82,6-10 Years,10Y,M,SOMERSET,HS,36
83,6-10 Years,6Y,M,CUMBERLAND,WH,33
84,3-5 Years,5Y,M,MERCER,BL,40
85,11-14 Years,12Y,M,ESSEX,BL,57
86,3-5 Years,5Y,M,MIDDLESEX,BL,26
87,6-10 Years,10Y,M,UNION,WH,25
88,6-10 Years,7Y,M,MIDDLESEX,BL,27
89,15-20 Years,20Y,M,UNION,HB,44
90,1-2 Years,2Y 19D,M,ESSEX,BL,24
91,3-5 Years,5Y,M,CUMBERLAND,BL,43
92,21+ Years,30Y,M,UNION,HS,43
93,3-5 Years,3Y 6D,M,BURLINGTON,WH,30
94,3-5 Years,4Y,M,UNION,HS,20
95,3-5 Years,5Y,M,ATLANTIC,BL,33
96,3-5 Years,5Y,M,OCEAN,WH,34
97,15-20 Years,20Y,M,CAMDEN,BL,31
98,21+ Years,LIFE,M,PASSAIC,BL,44
99,3-5 Years,5Y,M,MERCER,BL,27
100,21+ Years,LIFE,M,ESSEX,BL,51
101,21+ Years,30Y,M,UNION,BL,54
102,6-10 Years,10Y 9M 20D,M,CAMDEN,WH,44
103,21+ Years,60Y,M,ESSEX,BL,43
104,6-10 Years,6Y 6M,M,MIDDLESEX,BL,23
105,21+ Years,LIFE1,M,ESSEX,BL,70
106,11-14 Years,13Y 6M,M,MERCER,BL,43
107,3-5 Years,3Y,M,HUDSON,BL,31
108,15-20 Years,20Y,M,CAMDEN,HS,44
109,21+ Years,LIFE,M,ESSEX,BL,71
110,3-5 Years,3Y 8M 22D,M,BURLINGTON,BL,33
111,21+ Years,34Y,M,CAMDEN,BL,36
112,11-14 Years,13Y,M,BURLINGTON,WH,26
113,6-10 Years,6Y,M,SUSSEX,WH,34
114,15-20 Years,20Y,M,BERGEN,HS,51
115,6-10 Years,7Y 11D,M,MERCER,BL,30
116,21+ Years,LIFE,M,ESSEX,BL,45
117,3-5 Years,5Y,F,MONMOUTH,BL,21
118,3-5 Years,5Y,M,MERCER,BL,38
119,6-10 Years,7Y,F,PASSAIC,BL,31
120,3-5 Years,5Y,M,MIDDLESEX,BL,20
121,15-20 Years,18Y,M,ESSEX,BL,44
122,21+ Years,30Y,M,ESSEX,BL,43
123,6-10 Years,8Y,M,BERGEN,WH,59
124,6-10 Years,6Y,M,ESSEX,HS,57
125,3-5 Years,4Y,M,MIDDLESEX,BL,42
126,11-14 Years,13Y,M,PASSAIC,BL,44
127,21+ Years,LIFE,M,UNION,BL,45
128,21+ Years,LIFE,M,CAMDEN,BL,45
129,21+ Years,45Y,M,CAMDEN,BL,45
130,3-5 Years,5Y,M,ATLANTIC,WH,25
131,21+ Years,30Y,M,BERGEN,WH,62
132,11-14 Years,13Y,M,PASSAIC,HS,38
133,6-10 Years,6Y,M,ESSEX,BL,24
134,3-5 Years,5Y,M,ESSEX,BL,57
135,3-5 Years,5Y,M,BERGEN,WH,60
136,3-5 Years,3Y,M,BURLINGTON,BL,23
137,6-10 Years,10Y,M,CUMBERLAND,HS,31
138,21+ Years,LIFE,M,ESSEX,BL,45
139,3-5 Years,5Y,M,ESSEX,BL,31
140,3-5 Years,5Y,M,OCEAN,BL,33
141,21+ Years,50Y,M,HUDSON,BL,42
142,3-5 Years,5Y,M,PASSAIC,HS,30
143,15-20 Years,20Y,M,HUDSON,BL,41
144,6-10 Years,10Y 4M 5D,M,HUDSON,BL,41
145,21+ Years,28Y,M,BERGEN,WH,52
146,21+ Years,80Y,M,OCEAN,BL,57
147,6-10 Years,8Y,M,CAPE MAY,HS,35
148,6-10 Years,10Y,M,ESSEX,BL,27
149,21+ Years,26Y 6M,M,BURLINGTON,WH,32
150,3-5 Years,4Y,M,UNION,BL,22
151,11-14 Years,11Y,F,CAPE MAY,WH,52
152,3-5 Years,5Y,M,CUMBERLAND,HS,36
